instance_id,feat_1,shap_1,feat_2,shap_2,feat_3,shap_3,feat_4,shap_4,feat_5,shap_5
0,ord__savings_status,1.2731636762619019,num__credit_amount,0.6024238467216492,num__age,0.5811111330986023,num__residence_since,-0.5049306154251099,cat__purpose_A49,0.45949193835258484
1,ord__savings_status,1.9811410903930664,num__duration,-0.7586008310317993,num__credit_amount,0.6253908276557922,num__residence_since,-0.5668467879295349,cat__property_A124,-0.5462783575057983
2,ord__savings_status,2.440593957901001,num__credit_amount,-1.0645174980163574,num__age,0.8320978879928589,num__duration,-0.522919774055481,num__residence_since,-0.369390606880188
3,ord__checking_status,1.2214889526367188,cat__foreign_worker_A201,1.0469598770141602,num__credit_amount,0.760975182056427,num__age,0.6117315292358398,num__duration,0.5767686367034912
4,ord__savings_status,1.8069467544555664,num__credit_amount,-1.6864467859268188,num__age,0.6582931280136108,num__installment_rate,0.5194888114929199,cat__property_A124,-0.4961093068122864
5,num__credit_amount,0.7485774755477905,cat__credit_history_A31,-0.6379702091217041,ord__savings_status,0.6308879852294922,num__age,0.42092379927635193,cat__purpose_A43,0.3919331133365631
6,ord__checking_status,1.8219772577285767,ord__savings_status,1.2438491582870483,num__credit_amount,0.9375551342964172,num__age,0.7511170506477356,cat__purpose_A40,-0.6941502094268799
7,num__credit_amount,1.1772578954696655,ord__checking_status,-1.0815187692642212,num__age,0.8362705707550049,num__existing_credits,-0.3294716477394104,ord__savings_status,-0.2870292663574219
8,ord__checking_status,-0.931302011013031,num__credit_amount,0.819878101348877,num__installment_rate,0.6259718537330627,ord__employment,-0.6228163838386536,cat__credit_history_A30,-0.4986337125301361
9,ord__checking_status,1.1499675512313843,num__credit_amount,0.7063602805137634,cat__other_installment_plans_A141,-0.5738576650619507,cat__other_installment_plans_A143,-0.5494133830070496,num__num_dependents,-0.5111427903175354
10,num__credit_amount,-0.9333726763725281,num__age,0.3667903542518616,ord__checking_status,0.2800254821777344,cat__personal_status_A92,-0.27690836787223816,num__residence_since,-0.20652920007705688
11,ord__checking_status,1.225189208984375,num__duration,0.9587026238441467,ord__employment,-0.6057815551757812,num__credit_amount,0.5721484422683716,num__installment_rate,0.35736769437789917
12,ord__savings_status,-0.6094105839729309,ord__checking_status,-0.5277965664863586,cat__purpose_A49,0.37550511956214905,num__residence_since,-0.36510154604911804,cat__credit_history_A34,-0.29844292998313904
13,num__duration,-1.808372974395752,ord__checking_status,-1.2581555843353271,num__credit_amount,-0.7801322340965271,cat__property_A124,-0.5388239026069641,num__age,-0.4792429506778717
14,ord__checking_status,1.4463329315185547,num__credit_amount,-0.5867175459861755,cat__property_A124,-0.4229988157749176,ord__employment,0.42207470536231995,num__installment_rate,0.4117569625377655
15,num__credit_amount,-1.1664327383041382,ord__checking_status,0.7367796301841736,num__duration,-0.46030759811401367,ord__savings_status,-0.36081528663635254,num__residence_since,-0.344033420085907
16,num__credit_amount,0.7950963377952576,ord__checking_status,-0.7218965888023376,ord__employment,-0.6126466989517212,num__installment_rate,0.5262372493743896,ord__savings_status,-0.485830157995224
17,ord__savings_status,1.1509658098220825,ord__checking_status,0.7288562655448914,num__duration,0.5384504199028015,num__credit_amount,-0.4708540141582489,num__age,-0.3664115071296692
18,ord__checking_status,2.4869141578674316,ord__savings_status,1.0336558818817139,cat__other_installment_plans_A143,-0.7893106341362,ord__employment,0.6617527604103088,num__credit_amount,-0.549089252948761
19,cat__purpose_A41,2.143167495727539,cat__credit_history_A34,1.1794930696487427,num__credit_amount,0.7622894644737244,ord__checking_status,-0.6169469356536865,ord__employment,-0.36568790674209595
20,num__duration,0.7462682723999023,num__credit_amount,0.6128794550895691,num__age,0.42920351028442383,num__residence_since,-0.368600994348526,cat__purpose_A43,0.34824180603027344
21,num__residence_since,1.2213966846466064,ord__savings_status,1.0619120597839355,num__credit_amount,0.6034843325614929,ord__employment,0.4067673087120056,num__existing_credits,0.27019229531288147
22,cat__credit_history_A34,1.0377118587493896,ord__checking_status,-1.0045101642608643,num__credit_amount,-0.49420905113220215,num__residence_since,-0.3053835332393646,cat__purpose_A43,0.25219497084617615
23,num__duration,2.049239158630371,ord__checking_status,1.2444090843200684,num__credit_amount,0.7122167944908142,cat__property_A121,0.6363904476165771,ord__savings_status,0.40070441365242004
24,num__duration,1.3873817920684814,cat__other_debtors_A103,1.3796892166137695,cat__purpose_A40,-1.128726840019226,ord__checking_status,1.1088358163833618,num__residence_since,0.5920771360397339
25,ord__checking_status,1.557181715965271,num__duration,-1.0606982707977295,cat__purpose_A46,-1.0067790746688843,cat__other_installment_plans_A143,-0.8805559277534485,cat__other_installment_plans_A141,-0.443561851978302
26,ord__savings_status,1.225954294204712,num__age,0.5616984963417053,ord__checking_status,-0.5541617274284363,ord__employment,-0.488357275724411,cat__property_A121,0.4053307771682739
27,num__credit_amount,-2.5178375244140625,cat__purpose_A41,1.4814151525497437,ord__employment,0.5790876746177673,ord__checking_status,-0.5131759643554688,ord__savings_status,-0.3548645079135895
28,ord__checking_status,2.2727560997009277,num__credit_amount,0.8955143094062805,ord__employment,0.7356076836585999,num__residence_since,-0.4910517930984497,cat__purpose_A43,0.4840139150619507
29,num__credit_amount,-2.369215726852417,ord__checking_status,-0.8396463394165039,cat__property_A124,-0.5121186971664429,num__residence_since,-0.431027889251709,ord__savings_status,-0.40769004821777344
30,ord__checking_status,1.3718891143798828,num__age,1.2743583917617798,cat__other_installment_plans_A143,-0.6706766486167908,num__duration,-0.5032109022140503,cat__property_A124,-0.39213913679122925
