instance_id,feat_1,shap_1,feat_2,shap_2,feat_3,shap_3,feat_4,shap_4,feat_5,shap_5
20,['num__duration' 'num__credit_amount'],-0.032520259399331994,['num__credit_amount' 'num__duration'],-0.025026707255425235,['num__credit_amount' 'num__duration'],-0.025026707255425235,['num__credit_amount' 'num__duration'],-0.025026707255425235,['num__credit_amount' 'num__duration'],-0.025026707255425235
21,['num__duration' 'num__credit_amount'],-0.010770581997729472,['num__credit_amount' 'num__duration'],0.018046265887020855,['num__credit_amount' 'num__duration'],0.018046265887020855,['num__credit_amount' 'num__duration'],0.018046265887020855,['num__duration' 'num__credit_amount'],-0.010770581997729472
22,['num__credit_amount' 'num__duration'],0.0053337108624463975,['num__credit_amount' 'num__duration'],0.0053337108624463975,['num__credit_amount' 'num__duration'],0.0053337108624463975,['num__credit_amount' 'num__duration'],0.0053337108624463975,['num__credit_amount' 'num__duration'],0.0053337108624463975
23,['num__credit_amount' 'num__duration'],-0.02511043655365952,['num__credit_amount' 'num__duration'],-0.02511043655365952,['num__duration' 'num__credit_amount'],-0.037228341157294134,['num__duration' 'num__credit_amount'],-0.037228341157294134,['num__duration' 'num__credit_amount'],-0.037228341157294134
24,['num__duration' 'num__credit_amount'],-0.04800101381557674,['num__credit_amount' 'num__duration'],-0.03175464237879183,['num__credit_amount' 'num__duration'],-0.03175464237879183,['num__credit_amount' 'num__duration'],-0.03175464237879183,['num__credit_amount' 'num__duration'],-0.03175464237879183
25,['num__credit_amount' 'num__duration'],0.02839408098048378,['num__duration' 'num__credit_amount'],0.1125002905794288,['num__duration' 'num__credit_amount'],0.1125002905794288,['num__duration' 'num__credit_amount'],0.1125002905794288,['num__duration' 'num__credit_amount'],0.1125002905794288
26,['num__duration' 'num__credit_amount'],-0.029845702989318563,['num__duration' 'num__credit_amount'],-0.029845702989318563,['num__duration' 'num__credit_amount'],-0.029845702989318563,['num__duration' 'num__credit_amount'],-0.029845702989318563,['num__duration' 'num__credit_amount'],-0.029845702989318563
27,['num__credit_amount' 'num__duration'],0.1510122309696693,['num__credit_amount' 'num__duration'],0.1510122309696693,['num__credit_amount' 'num__duration'],0.1510122309696693,['num__duration' 'num__credit_amount'],-0.0033244226584027573,['num__duration' 'num__credit_amount'],-0.0033244226584027573
28,['num__credit_amount' 'num__duration'],-0.025906434186243832,['num__duration' 'num__credit_amount'],-0.010647181638758697,['num__duration' 'num__credit_amount'],-0.010647181638758697,['num__duration' 'num__credit_amount'],-0.010647181638758697,['num__duration' 'num__credit_amount'],-0.010647181638758697
29,['num__credit_amount' 'num__duration'],0.13102617286925072,['num__duration' 'num__credit_amount'],0.046540370004153,['num__credit_amount' 'num__duration'],0.13102617286925072,['num__credit_amount' 'num__duration'],0.13102617286925072,['num__credit_amount' 'num__duration'],0.13102617286925072
30,['num__credit_amount' 'num__duration'],-0.02082350395853425,['num__credit_amount' 'num__duration'],-0.02082350395853425,['num__duration' 'num__credit_amount'],-0.014814743931322975,['num__credit_amount' 'num__duration'],-0.02082350395853425,['num__duration' 'num__credit_amount'],-0.014814743931322975
31,['num__duration' 'num__credit_amount'],-0.03781237473500301,['num__credit_amount' 'num__duration'],-0.01928900721546824,['num__credit_amount' 'num__duration'],-0.01928900721546824,['num__credit_amount' 'num__duration'],-0.01928900721546824,['num__credit_amount' 'num__duration'],-0.01928900721546824
32,['num__duration' 'num__credit_amount'],0.05344998313977524,['num__duration' 'num__credit_amount'],0.05344998313977524,['num__credit_amount' 'num__duration'],0.04843797798117663,['num__credit_amount' 'num__duration'],0.04843797798117663,['num__duration' 'num__credit_amount'],0.05344998313977524
33,['num__credit_amount' 'num__duration'],-0.025437207335902552,['num__duration' 'num__credit_amount'],-0.027427080505106605,['num__duration' 'num__credit_amount'],-0.027427080505106605,['num__credit_amount' 'num__duration'],-0.025437207335902552,['num__duration' 'num__credit_amount'],-0.027427080505106605
34,['num__duration' 'num__credit_amount'],0.001633819834561553,['num__duration' 'num__credit_amount'],0.001633819834561553,['num__duration' 'num__credit_amount'],0.001633819834561553,['num__duration' 'num__credit_amount'],0.001633819834561553,['num__credit_amount' 'num__duration'],0.050612799824248385
35,['num__duration' 'num__credit_amount'],-0.047962043308782426,['num__duration' 'num__credit_amount'],-0.047962043308782426,['num__credit_amount' 'num__duration'],-0.0031550714126668275,['num__duration' 'num__credit_amount'],-0.047962043308782426,['num__duration' 'num__credit_amount'],-0.047962043308782426
