model,best_params,best_score
logistic_regression,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.775
random_forest_balanced,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 800}",0.76625
random_forest,"{'clf__max_depth': 12, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.76375
xgboost,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 400, 'clf__subsample': 1.0}",0.765
mlp,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (64, 32), 'clf__learning_rate_init': 0.0005}",0.74
